URN,Name,UUID,Geometry
"urn:uuid:397ee67d-0bec-40dc-8764-6ed9ba950d32","TWKHH - 40","397ee67d-0bec-40dc-8764-6ed9ba950d32","Polygon(List(List((120.300273489933,22.5818649932457), (120.300452111181,22.5819899884859), (120.30119533738,22.5810740731102), (120.301016717312,22.5809490778558), (120.300273489933,22.5818649932457))))"
"urn:uuid:a4fba7a9-3b49-42f3-a21e-211ffab3a681","TWKHH - 41","a4fba7a9-3b49-42f3-a21e-211ffab3a681","Polygon(List(List((120.30459577233,22.5766925971105), (120.30487111044,22.5768783730514), (120.306162815222,22.5752272875065), (120.305887480393,22.5750415115274), (120.30459577233,22.5766925971105))))"
"urn:uuid:e4adc2f4-4ab2-4355-85a8-bed00c1cacfb","TWKHH - 42","e4adc2f4-4ab2-4355-85a8-bed00c1cacfb","Polygon(List(List((120.344430263958,22.5404516309188), (120.344711458797,22.5407629252617), (120.346863617672,22.5390853856435), (120.34658242623,22.5387740912359), (120.344430263958,22.5404516309188))))"
"urn:uuid:3ba079b7-ab28-46a5-acbc-772cec849345","TWKHH - 43","3ba079b7-ab28-46a5-acbc-772cec849345","Polygon(List(List((120.34832656317,22.5382512271272), (120.348442800494,22.5383845673118), (120.349273824804,22.5377594373888), (120.349157588004,22.5376260971939), (120.34832656317,22.5382512271272))))"
"urn:uuid:1b41d392-dfd5-416e-8b68-4202b73e983e","TWKHH - 44","1b41d392-dfd5-416e-8b68-4202b73e983e","Polygon(List(List((120.302204521899,22.5739357929915), (120.30229229993,22.5738276140318), (120.301632217774,22.5733656740161), (120.301544440036,22.5734738529819), (120.302204521899,22.5739357929915))))"
"urn:uuid:4d25eef1-714b-4add-84ea-13a17b2e6932","TWKHH - 45","4d25eef1-714b-4add-84ea-13a17b2e6932","Polygon(List(List((120.301518237048,22.574262210911), (120.301608034872,22.5741554711295), (120.300956732702,22.5736829029352), (120.300866935185,22.5737896427229), (120.301518237048,22.574262210911))))"
"urn:uuid:f8cc0fe9-e343-4eab-a7c0-b76c0a40ba7b","TWKHH - 46","f8cc0fe9-e343-4eab-a7c0-b76c0a40ba7b","Polygon(List(List((120.272830075432,22.6129477139591), (120.272734722262,22.6128113923437), (120.271837418919,22.6133523970798), (120.271932772461,22.613488718686), (120.272830075432,22.6129477139591))))"
"urn:uuid:127a3a54-8157-4482-8b80-a0793e9cfea5","TWKHH - 47","127a3a54-8157-4482-8b80-a0793e9cfea5","Polygon(List(List((120.294024978621,22.5838697220606), (120.294111983627,22.5837499386665), (120.293184869019,22.5831692237994), (120.293097864378,22.5832890072021), (120.294024978621,22.5838697220606))))"
"urn:uuid:bbfd0b93-2e7a-47f8-baa2-c9e8e96c2335","TWKHH - 48","bbfd0b93-2e7a-47f8-baa2-c9e8e96c2335","Polygon(List(List((120.315042104374,22.5703752589319), (120.315150821334,22.5704513430817), (120.315636512747,22.569852752384), (120.315527796256,22.5697766682285), (120.315042104374,22.5703752589319))))"
"urn:uuid:eceb3c60-99c9-44ec-80ee-64812915ab77","TWKHH - 49","eceb3c60-99c9-44ec-80ee-64812915ab77","Polygon(List(List((120.34382831903,22.5385981792148), (120.344165748467,22.5389717324649), (120.346384898624,22.5372419502769), (120.34604747339,22.5368683969465), (120.34382831903,22.5385981792148))))"
"urn:uuid:72be1280-29e7-4b3b-917d-ac4fcd5b1688","TWKHH - 50","72be1280-29e7-4b3b-917d-ac4fcd5b1688","Polygon(List(List((120.298676977554,22.578493562647), (120.298413091717,22.5783404318108), (120.297263970433,22.5800481934688), (120.297527859522,22.5802013242725), (120.298676977554,22.578493562647))))"
"urn:uuid:b26090ac-efe3-4fc9-9a0b-ff247528ff70","TWKHH - 51","b26090ac-efe3-4fc9-9a0b-ff247528ff70","Polygon(List(List((120.29873300581,22.5785374972985), (120.298598923219,22.5784330149988), (120.297892615214,22.5792147050068), (120.298026698561,22.5793191872964), (120.29873300581,22.5785374972985))))"
"urn:uuid:20248fa5-8a27-4050-89e9-c2c14131b06e","TWKHH - 52","20248fa5-8a27-4050-89e9-c2c14131b06e","Polygon(List(List((120.337271890621,22.5411615310277), (120.337149585943,22.5417458160751), (120.339730501958,22.5422118559083), (120.339852742129,22.541627539885), (120.337271890621,22.5411615310277))))"
"urn:uuid:c0e209ae-5221-4072-9a58-280af6bd3621","TWKHH - 53","c0e209ae-5221-4072-9a58-280af6bd3621","Polygon(List(List((120.285132656893,22.5976167232422), (120.284995265104,22.5975488918472), (120.28462086941,22.5982026998345), (120.284758261848,22.598270531224), (120.285132656893,22.5976167232422))))"
"urn:uuid:f7f00911-8e2c-4dd8-9edb-8a1b778908e0","TWKHH - 54","f7f00911-8e2c-4dd8-9edb-8a1b778908e0","Polygon(List(List((120.285694674864,22.5976701462483), (120.285510146081,22.5976791257768), (120.285561553155,22.5985899349825), (120.285746083151,22.598580955455), (120.285694674864,22.5976701462483))))"
"urn:uuid:4103e53e-eb31-442a-849b-1ea7a3904b50","TWKHH - 55","4103e53e-eb31-442a-849b-1ea7a3904b50","Polygon(List(List((120.28603547272,22.5973740559059), (120.285896827177,22.5973084612477), (120.285631913771,22.5977912241521), (120.285770559797,22.5978568188064), (120.28603547272,22.5973740559059))))"
"urn:uuid:61d7752c-cfb5-48a1-8bcc-125b334f8af4","TWKHH - 56","61d7752c-cfb5-48a1-8bcc-125b334f8af4","Polygon(List(List((120.295923951507,22.5813397585799), (120.296015905009,22.5814064739555), (120.296405048492,22.5809439353179), (120.296313095296,22.5808772199384), (120.295923951507,22.5813397585799))))"
"urn:uuid:a79b40f5-4863-439a-b4ec-5481d8010c7a","TWKHH - 57","a79b40f5-4863-439a-b4ec-5481d8010c7a","Polygon(List(List((120.337043355262,22.5414202706073), (120.337277374981,22.5411317921997), (120.335476170376,22.53987095794), (120.335242152781,22.5401594363928), (120.337043355262,22.5414202706073))))"
"urn:uuid:7128cbdd-8c9a-498d-bbd2-aeda9f3011a6","TWKHH - 58","7128cbdd-8c9a-498d-bbd2-aeda9f3011a6","Polygon(List(List((120.32643293609,22.5570900870437), (120.326217447669,22.5573462630243), (120.32784168615,22.5585248994992), (120.328057176402,22.5582687235562), (120.32643293609,22.5570900870437))))"
"urn:uuid:9480e181-5710-44ce-997f-d5c60b8af737","TWKHH - 59","9480e181-5710-44ce-997f-d5c60b8af737","Polygon(List(List((120.302439262049,22.5731406365633), (120.30256185951,22.5732295904472), (120.303208396482,22.5724610636134), (120.303085799701,22.5723721097211), (120.302439262049,22.5731406365633))))"
"urn:uuid:b5ae6a42-480d-4303-9606-d669b1be5cbe","TWKHH - 60","b5ae6a42-480d-4303-9606-d669b1be5cbe","Polygon(List(List((120.296603503686,22.5974951641003), (120.296753771699,22.5977273781511), (120.29819593773,22.5969227604894), (120.29804567059,22.5966905464154), (120.296603503686,22.5974951641003))))"
"urn:uuid:200531af-3569-4af0-a74b-1b743b41422c","TWKHH - 61","200531af-3569-4af0-a74b-1b743b41422c","Polygon(List(List((120.294840576627,22.5997989031612), (120.295187858723,22.5999162676205), (120.29580322077,22.5983464133784), (120.295455942612,22.5982290488961), (120.294840576627,22.5997989031612))))"
"urn:uuid:140dbd0f-cd9e-45c4-83b9-ede541dea1b0","TWKHH - 62","140dbd0f-cd9e-45c4-83b9-ede541dea1b0","Polygon(List(List((120.284727004531,22.6049449648535), (120.284924710206,22.6050552703912), (120.285874641597,22.6035873967245), (120.285676942664,22.6034771060449), (120.284727004531,22.6049449648535))))"
"urn:uuid:fbaaf9ee-e3c5-4866-a242-fbb79ce7f537","TWKHH - 63","fbaaf9ee-e3c5-4866-a242-fbb79ce7f537","Polygon(List(List((120.288775536672,22.5929852906435), (120.288969245777,22.593089139024), (120.289698618158,22.591916068255), (120.289504910694,22.5918122198593), (120.288775536672,22.5929852906435))))"
"urn:uuid:2d2fccdd-647c-4f2c-93ac-8a19a08ae44e","TWKHH - 64","2d2fccdd-647c-4f2c-93ac-8a19a08ae44e","Polygon(List(List((120.281621174125,22.6142699367782), (120.281708198318,22.6143897197142), (120.282498434988,22.6138948511646), (120.282411411106,22.6137750682212), (120.281621174125,22.6142699367782))))"
